Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
11,17,49,10
13,47,49,7
15,24,34,7
11,17,31,6
11,17,54,10
11,17,80,16
15,24,180,32
7,32,203,38
11,17,427,77
11,17,62,13
15,23,345,69
9,18,98,21
15,24,23,5
14,31,49,11
11,17,31,8
10,19,39,7
16,19,9,2
19,17,38,7
12,25,70,13
11,17,29,6
11,17,35,5
10,18,351,58
16,32,1277,254
15,24,112,23
15,24,41,9
11,17,35,11
14,31,33,7
15,24,36,7
11,17,42,7
11,17,68,14
11,17,50,11
14,23,1153,211
11,17,52,10
11,17,77,13
9,22,65,13
11,17,64,12
11,17,52,12
12,25,44,6
9,22,16,3
15,24,62,17
14,23,44,6
17,19,56,14
16,19,48,11
15,19,22,4
15,19,34,5
19,17,50,10
11,20,49,8
13,25,22,4
8,21,193,32
16,18,225,36
13,17,40,8
13,17,29,6
15,19,94,16
3,20,40,9
15,19,35,6
17,26,33,5
17,26,56,9
17,26,76,13
17,26,100,12
17,26,129,20
17,26,23,3
17,26,37,5
17,30,67,6
17,26,30,5
17,26,37,6
17,26,64,10
17,26,28,5
17,26,39,8
17,26,34,7
17,26,29,3
17,30,94,15
17,26,25,3
17,26,32,8
17,26,30,3
17,26,13,2
17,26,55,10
17,26,27,4
17,26,28,3
17,26,122,22
17,26,12,2
17,26,50,8
17,26,307,44
17,26,149,19
17,26,11,1
17,26,55,8
17,26,40,6
17,26,23,3
17,26,35,4
17,26,16,2
17,26,542,93
17,26,29,2
17,26,50,3
17,26,71,9
17,26,66,10
17,26,27,4
17,26,45,9
17,26,57,7
17,26,249,38
17,30,41,7
14,26,51,10
17,26,26,4
17,26,35,6
17,26,24,3
17,26,48,8
17,26,37,6
17,30,45,7
17,26,83,11
17,26,256,44
17,30,56,6
17,26,130,23
17,26,35,6
17,26,51,8
17,26,38,5
17,26,64,10
17,26,174,27
17,26,12,1
14,24,49,7
17,26,88,15
17,26,15,3
17,26,47,6
17,26,19,3
17,26,143,23
17,26,65,14
17,26,19,3
17,26,50,6
13,17,257,30
13,14,147,18
13,17,151,18
13,17,143,17
13,17,175,23
13,17,558,86
13,35,236,38
11,17,41,5
26,46,32,9
26,22,37,4
12,18,53,11
26,22,42,5
26,22,22,3
6,19,25,5
8,21,50,10
15,49,22,6
10,22,32,4
10,22,65,13
10,22,63,13
10,22,44,8
15,49,65,13
14,30,240,35
13,22,55,9
7,32,63,15
10,22,54,9
10,22,59,9
15,49,54,12
15,25,14,2
15,25,44,11
15,25,68,12
15,25,74,12
15,25,116,19
8,27,611,119
15,25,35,6
8,27,248,45
9,34,79,13
5,15,54,12
5,15,107,17
13,22,476,88
5,15,43,8
5,15,101,19
5,15,14,2
5,15,101,21
5,15,76,15
5,15,3727,640
5,15,72,14
13,24,42,7
13,18,57,16
13,18,35,7
13,24,78,14
13,18,43,8
13,18,48,11
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
12,13,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
12,13,14,2
22,16,14,2
12,13,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
22,16,14,2
15,25,151,32
14,19,26,4
14,19,33,6
14,19,183,29
14,19,30,8
14,19,58,12
26,22,57,10
12,22,52,9
12,22,46,9
11,22,73,17
12,22,483,91
12,19,169,32
12,22,581,100
12,22,224,38
12,22,94,20
12,22,26,4
11,14,31,4
14,22,67,6
14,20,27,5
14,20,54,8
11,21,210,40
14,22,26,5
6,20,246,51
11,19,45,9
14,20,38,5
11,21,343,57
14,20,26,2
11,21,153,27
14,22,102,9
14,20,59,9
16,24,70,6
18,18,5720,940
18,18,264,42
13,20,115,21
13,20,52,8
13,20,259,54
13,19,71,9
15,20,158,23
14,15,60,8
22,23,94,13
14,30,75,14
14,30,242,43
14,30,128,23
14,30,609,112
14,30,281,56
14,30,142,29
14,30,100,15
13,31,249,44
13,31,43,9
13,31,1649,381
13,31,2407,554
13,31,152,28
13,31,2233,483
13,31,156,27
13,31,264,46
13,31,242,48
13,31,2030,478
13,31,4717,1051
13,31,263,48
18,20,47,10
26,22,57,10
6,19,34,5
17,27,32,4
10,20,33,5
17,27,106,19
17,27,73,12
20,25,51,10
17,27,34,5
10,20,71,13
17,27,19,3
16,16,416,72
16,16,56,10
16,16,36,7
16,16,111,21
20,25,82,16
16,16,50,9
16,16,380,70
10,20,44,8
16,16,86,11
17,27,65,12
16,16,42,7
17,27,99,18
16,16,328,51
16,16,165,22
16,16,45,7
16,16,67,13
11,25,70,12
11,25,47,8
11,25,22,4
11,25,48,10
11,25,24,6
7,21,45,10
15,21,1387,246
12,24,312,57
11,25,85,10
12,24,45,8
15,21,49,8
11,25,67,14
11,25,46,10
7,21,38,8
15,21,35,6
11,25,39,7
11,25,54,8
11,25,42,9
11,25,50,10
11,25,83,17
15,21,459,103
14,28,177,20
6,14,39,7
6,28,23,4
14,28,109,10
6,14,11,3
